iter	Logloss
270	0.2980002508
271	0.297701855
272	0.2974572104
273	0.2971718919
274	0.2968820346
275	0.2965688704
276	0.2963012929
277	0.2961134725
278	0.2958174802
279	0.2955185451
280	0.2953241968
281	0.295122971
282	0.2948588431
283	0.2945921083
284	0.2943156265
285	0.2940435751
286	0.2938325779
287	0.2935682738
288	0.2932792538
289	0.2930818895
290	0.2928579558
291	0.2926375394
292	0.2924026662
293	0.2922077868
294	0.2919841593
295	0.2917773676
296	0.2915649342
297	0.2913211703
298	0.2910024158
299	0.2907988488
300	0.2905724167
301	0.2903464398
302	0.2901338546
303	0.2898947976
304	0.2896921871
305	0.2894383807
306	0.2891788134
307	0.2889963962
308	0.2887834046
309	0.2885844821
310	0.2883712846
311	0.2881520089
312	0.2879109331
313	0.2877286298
314	0.2875374573
315	0.2872700587
316	0.2871004263
317	0.2869281681
318	0.2867465693
319	0.2864981364
320	0.2863183613
321	0.2861092067
322	0.2859122841
323	0.2856975094
324	0.2855159025
325	0.2853431457
326	0.2851427573
327	0.2849243868
328	0.2847051491
329	0.2845256964
330	0.2843842404
331	0.2841643957
332	0.284012553
333	0.2838239928
334	0.2836532954
335	0.283488958
336	0.2833212685
337	0.2831700545
338	0.2830069879
339	0.2828327407
340	0.2826750503
341	0.2824516423
342	0.2822518202
343	0.2820983381
344	0.2819103551
345	0.2817224344
346	0.2815890968
347	0.2814341704
348	0.2813028787
349	0.2811209791
350	0.2809258883
351	0.2807805979
352	0.2805912843
353	0.2803915029
354	0.2802282033
355	0.2800800838
356	0.2799108769
357	0.2796877317
358	0.2795049352
359	0.279358176
360	0.2792401975
361	0.2790573305
362	0.2789080432
363	0.2787662945
364	0.2786211666
365	0.2784572546
366	0.2783027888
367	0.278128585
368	0.2779337408
369	0.2777543017
370	0.2775968254
371	0.2774016289
372	0.277234812
373	0.2771090835
374	0.2769559401
375	0.2768597781
376	0.2767189127
377	0.2765655255
378	0.2763753719
379	0.2762283499
380	0.2760744045
381	0.275931729
382	0.2757757458
383	0.2756204617
384	0.2754335165
385	0.2752747638
386	0.2751131632
387	0.2749273561
388	0.2747018264
389	0.2745687137
390	0.2744255559
391	0.2742613214
392	0.2741308101
393	0.2740261854
394	0.2739074915
395	0.2737826464
396	0.2736680876
397	0.2735204343
398	0.273344984
399	0.2731643282
400	0.2729806726
401	0.2728561933
402	0.2727074805
403	0.2725425902
404	0.2723903411
405	0.2722605506
406	0.2721169484
407	0.2719760315
408	0.271852628
409	0.271723198
410	0.2716036966
411	0.2714850054
412	0.2712888279
413	0.2711331428
414	0.2709979788
415	0.2708933081
416	0.2708079228
417	0.2707019947
418	0.2706061334
419	0.270487323
420	0.2703240477
421	0.2701993056
422	0.2700739077
423	0.2699739221
424	0.2698418148
425	0.2697268983
426	0.2696571756
427	0.2695301654
428	0.2694042174
429	0.2692968071
430	0.2691892341
431	0.2690466155
432	0.268908292
433	0.2687804769
434	0.2686299512
435	0.2685028759
436	0.2683938668
437	0.268280793
438	0.2681704588
439	0.268048673
440	0.2679500586
441	0.2678664266
442	0.2677513638
443	0.2676335072
444	0.2674965494
445	0.2674263931
446	0.267312566
447	0.2672247771
448	0.2671253416
449	0.2670246651
450	0.2668866423
451	0.2667895481
452	0.2666525821
453	0.2665717303
454	0.2664441754
455	0.2663212841
456	0.2662170523
457	0.2661469611
458	0.2660305569
459	0.2659040074
460	0.2657557308
461	0.2656394973
462	0.2655229496
463	0.2654346188
464	0.2653355275
465	0.265231209
466	0.2650926361
467	0.2649787141
468	0.26484245
469	0.2647318692
470	0.2645762138
471	0.264436324
472	0.2643092433
473	0.2641599099
474	0.2640770962
475	0.2639426721
476	0.2638174476
477	0.2637366202
478	0.2635797915
479	0.2634777573
480	0.2633958
481	0.2632641235
482	0.2631863256
483	0.2630618897
484	0.2629744884
485	0.262897937
486	0.262783885
487	0.2626790245
488	0.2625682838
489	0.2625070373
490	0.2624350248
491	0.2623151874
492	0.2622000433
493	0.2620554005
494	0.2619588266
495	0.2618609086
496	0.261776171
497	0.2616573389
498	0.2615510775
499	0.2614444556
