iter	Logloss
0	0.6864870832
1	0.6800699709
2	0.6736865792
3	0.6673314829
4	0.6614145369
5	0.6553895519
6	0.6494252334
7	0.6435440619
8	0.637867078
9	0.6321950584
10	0.6268178577
11	0.6216276321
12	0.6165396736
13	0.6115249064
14	0.6066196957
15	0.601433616
16	0.5965891857
17	0.5919643128
18	0.5871925264
19	0.5828369788
20	0.5783884478
21	0.5742221623
22	0.5699810868
23	0.5660094342
24	0.5621037322
25	0.5581625646
26	0.5540651456
27	0.5504349147
28	0.5468852294
29	0.5433662514
30	0.5398532349
31	0.5366289349
32	0.5329818221
33	0.5298660164
34	0.5265010354
35	0.5232582709
36	0.5202298557
37	0.517217374
38	0.5141104672
39	0.5108875167
40	0.5075474873
41	0.5043074001
42	0.5015034525
43	0.4988652948
44	0.496075839
45	0.4934728326
46	0.4907938439
47	0.4881015663
48	0.4853511423
49	0.4827626657
50	0.4801882475
51	0.4778882707
52	0.475330355
53	0.4730355159
54	0.4705894005
55	0.4684648116
56	0.4663356703
57	0.4640239384
58	0.4617862758
59	0.4595370423
60	0.4576686309
61	0.4555323411
62	0.453470874
63	0.4513767322
64	0.4493366018
65	0.4475102083
66	0.4454690428
67	0.4435668241
68	0.4416095752
69	0.4398709948
70	0.4380950303
71	0.436448729
72	0.4345894116
73	0.4330153801
74	0.4313490046
75	0.4297149081
76	0.4280110834
77	0.4262564449
78	0.4246993279
79	0.4230778753
80	0.4214980177
81	0.4199351289
82	0.4185228931
83	0.4170539904
84	0.4158058103
85	0.414278257
86	0.4127217469
87	0.411183322
88	0.4097545349
89	0.4083936983
90	0.4070850792
91	0.4057107641
92	0.4044488183
93	0.4030388804
94	0.4016372453
95	0.4001842544
96	0.3987569522
97	0.3974863785
98	0.3961317364
99	0.3949607147
100	0.3937203983
101	0.3924365033
102	0.3912779845
103	0.3901970413
104	0.3890576048
105	0.3878027749
106	0.3868233402
107	0.3856592771
108	0.3846561427
109	0.3836138573
110	0.3825839556
111	0.3817259733
112	0.3807210667
113	0.3797715426
114	0.3787665356
115	0.3777259791
116	0.3767535492
117	0.3758162462
118	0.3748181492
119	0.3738742479
120	0.3729197513
121	0.3719369402
122	0.3709963123
123	0.3701214129
124	0.3694378702
125	0.3684803983
126	0.3675332181
127	0.3666296546
128	0.365736914
129	0.3649084765
130	0.3640204103
131	0.3632340964
132	0.3624331144
133	0.3616536319
134	0.3608208317
135	0.3603211342
136	0.3594992273
137	0.3586948608
138	0.3579353385
139	0.3572092658
140	0.3564964385
141	0.3556879044
142	0.3549518813
143	0.3542404441
144	0.3535886303
145	0.3528696165
146	0.3521106443
147	0.3513358443
148	0.3505998754
149	0.3499843049
150	0.3492808752
151	0.3486191408
152	0.3479498597
153	0.3472366313
154	0.3464510653
155	0.3459377349
156	0.3452862652
157	0.3446113695
158	0.3440151712
159	0.3432821289
160	0.3426852261
161	0.3419685861
162	0.3413383205
163	0.3407452954
164	0.3402210608
165	0.3396172643
166	0.3390326612
167	0.3384307453
168	0.3378244152
169	0.3372623548
170	0.3366259786
171	0.3360311054
172	0.3356214973
173	0.3350621982
174	0.3345834229
175	0.3340298631
176	0.3334978759
177	0.3329290708
178	0.3323394275
179	0.3317688882
180	0.331197712
181	0.3306555631
182	0.3301942768
183	0.3296510629
184	0.3291088516
185	0.3286648836
186	0.3281383836
187	0.3276837065
188	0.3271371812
189	0.3265938021
190	0.3261588088
191	0.3256827406
192	0.3252009954
193	0.3247730692
194	0.3243159668
195	0.3238592953
196	0.3233554383
197	0.3229733644
198	0.3225104793
199	0.3220915252
200	0.3216123624
201	0.32127752
202	0.3208215801
203	0.3204253503
204	0.3200624562
205	0.3196242707
206	0.3192492775
207	0.3188378484
208	0.3184001779
209	0.3180425408
210	0.3177001814
211	0.3173481535
212	0.3169206907
213	0.3165533201
214	0.3161702706
215	0.3158000357
216	0.3153916796
217	0.3150265526
218	0.3146634634
219	0.3142903589
220	0.3138289045
221	0.3134502097
222	0.3130599332
223	0.3127182188
224	0.3123966679
225	0.3119886694
226	0.3115941522
227	0.3112552884
228	0.3108912372
229	0.3105085617
230	0.3101802553
231	0.3098166837
232	0.3094691649
233	0.3091160071
234	0.3087401494
235	0.308348808
236	0.3079688748
237	0.3076429313
238	0.3072823947
239	0.3070079777
240	0.306679739
241	0.3063266652
242	0.3060378701
243	0.3057139833
244	0.3054535136
245	0.305123061
246	0.3048404957
247	0.3044996321
248	0.3041977461
249	0.3038863243
250	0.3035715749
251	0.3032353071
252	0.3029334319
253	0.3026440623
254	0.3023360441
255	0.3020634128
256	0.3017069978
257	0.3014753466
258	0.3012266861
259	0.3009581466
260	0.300697284
261	0.300415995
262	0.3001297444
263	0.2998642995
264	0.2996542859
265	0.2993761484
266	0.2991137845
267	0.2987920737
268	0.2985320077
269	0.2982529245
